031319_Aer_EcCheA_EcCheW_BL21_150K_DEER_2500ns.DSC	031519_Aer_EcCheA_EcCheW_BL21_150K_DEER_3200ns.DSC	112118_AerInvivoBL21_4Pdeer2500ns_150K_Phased.DSC	240418_AerNoCheACheW_Rib_4PDeer_2.5us.DSC	240418_AerNoCheACheW_Rib_4PDeer_3us.DSC	240805_AerEcAW_Rib_Cap3_4PDeer_3us_1D.DSC	240805_AerEcAW_Rib_Cap3_4PDeer_3_5us_Phased_1D.DSC
2426.0	3146.0	2370.0	2442.0	2954.0	2894.0	3406.0
2.0	-6.0	2.0	-6.0	-6.0	-2.0	-2.0
0.006058803584465984	0.006233372645259123	0.0029397369428319398	0.008961294113930478	0.011628543742546514	0.010785308367266225	0.02186035431520492
0.15676748278951413	0.049186961481930996	0.03636005143441812	0.032081876271877356	0.030995692826569915	0.09158149165988172	0.09157330416589105
25.87432990754914	7.890906621689113	12.368471105238196	3.5800494732123074	2.6654836162470525	8.491318796023917	4.189012805807884
0.29091494187223743	0.09273628711246873	0.06102911767568209	-0.03944611731820924	-0.044867605121572396	0.2648598906240115	0.30853418094092533
0.05712222234103066	0.045417189313922704	0.015499578689562817	0.07177341979992798	0.09121556327890587	0.03182240632355714	0.029647145725297645
-0.1844624467073568	-0.0704690861956506	-0.04332898161893594	-0.09444898307323178	-0.08303625096107232	-0.12236600899106026	-0.11122674270043974
-0.00014182334591384096	-3.087630654170785e-05	-2.659240265791743e-05	1.580391821107953e-05	1.4827764772596985e-05	-0.00010624798789177919	-0.0001082574997763363
nan	nan	nan	nan	nan	nan	nan
